"","week","count","GIDSTCO","Tot_Population_ACS_14_18","pct_URBANIZED_AREA_POP_CEN_2010","pct_Prs_Blw_Pov_Lev_ACS_14_18","pct_No_Health_Ins_ACS_14_18"
"1",1,232,1001,55200,1.18569008529426,-0.0366019738793558,-0.559698918249263
"3133",2,203,1001,55200,1.18569008529426,-0.0366019738793558,-0.559698918249263
"6265",3,119,1001,55200,1.18569008529426,-0.0366019738793558,-0.559698918249263
"2",1,893,1003,208107,0.49266828337419,-0.779206054973167,0.0468577599577162
"3134",2,489,1003,208107,0.49266828337419,-0.779206054973167,0.0468577599577162
"6266",3,383,1003,208107,0.49266828337419,-0.779206054973167,0.0468577599577162
"3",1,110,1005,25782,-0.555872501853231,2.04454210369748,0.0246912368338732
"3135",2,62,1005,25782,-0.555872501853231,2.04454210369748,0.0246912368338732
"6267",3,63,1005,25782,-0.555872501853231,2.04454210369748,0.0246912368338732
"4",1,195,1007,22527,-0.555872501853231,-0.251200658436611,-0.525441564330596
"3136",2,126,1007,22527,-0.555872501853231,-0.251200658436611,-0.525441564330596
"6268",3,73,1007,22527,-0.555872501853231,-0.251200658436611,-0.525441564330596
"5",1,262,1009,57645,-0.535754451277561,-0.187901765869363,0.228220221880069
"3137",2,292,1009,57645,-0.535754451277561,-0.187901765869363,0.228220221880069
"6269",3,193,1009,57645,-0.535754451277561,-0.187901765869363,0.228220221880069
"6",1,33,1011,10352,-0.555872501853231,2.43514258710025,0.119402744726657
"3138",2,20,1011,10352,-0.555872501853231,2.43514258710025,0.119402744726657
"6270",3,19,1011,10352,-0.555872501853231,2.43514258710025,0.119402744726657
"7",1,105,1013,20025,-0.555872501853231,1.22320037575172,0.0428274830261084
"3139",2,80,1013,20025,-0.555872501853231,1.22320037575172,0.0428274830261084
"6271",3,44,1013,20025,-0.555872501853231,1.22320037575172,0.0428274830261084
"8",1,892,1015,115098,1.34213044872596,0.458982038659341,-0.104277624977578
"3140",2,1100,1015,115098,1.34213044872596,0.458982038659341,-0.104277624977578
"6272",3,558,1015,115098,1.34213044872596,0.458982038659341,-0.104277624977578
"9",1,192,1017,33826,-0.555872501853231,0.154838579250858,0.177841760234971
"3141",2,159,1017,33826,-0.555872501853231,0.154838579250858,0.177841760234971
"6273",3,109,1017,33826,-0.555872501853231,0.154838579250858,0.177841760234971
"10",1,109,1019,25853,-0.555872501853231,-0.093725364732726,-0.311836886955381
"3142",2,101,1019,25853,-0.555872501853231,-0.093725364732726,-0.311836886955381
"6274",3,59,1019,25853,-0.555872501853231,-0.093725364732726,-0.311836886955381
"11",1,212,1021,43930,-0.555872501853231,0.455894287802402,0.858958561676695
"3143",2,127,1021,43930,-0.555872501853231,0.455894287802402,0.858958561676695
"6275",3,117,1021,43930,-0.555872501853231,0.455894287802402,0.858958561676695
"12",1,12,1023,13075,-0.555872501853231,1.02249657005069,0.308825760512226
"3144",2,11,1023,13075,-0.555872501853231,1.02249657005069,0.308825760512226
"6276",3,38,1023,13075,-0.555872501853231,1.02249657005069,0.308825760512226
"13",1,98,1025,24387,-0.555872501853231,1.51190508087551,0.169781206371755
"3145",2,104,1025,24387,-0.555872501853231,1.51190508087551,0.169781206371755
"6277",3,72,1025,24387,-0.555872501853231,1.51190508087551,0.169781206371755
"14",1,78,1027,13378,-0.555872501853231,0.4358239072323,0.0448426214919123
"3146",2,60,1027,13378,-0.555872501853231,0.4358239072323,0.0448426214919123
"6278",3,51,1027,13378,-0.555872501853231,0.4358239072323,0.0448426214919123
"15",1,73,1029,14938,-0.555872501853231,0.452806536945464,0.570793761066735
"3147",2,224,1029,14938,-0.555872501853231,0.452806536945464,0.570793761066735
"6279",3,102,1029,14938,-0.555872501853231,0.452806536945464,0.570793761066735
"16",1,253,1031,51288,-0.555872501853231,-0.0860059875903786,-0.00755097861898948
"3148",2,168,1031,51288,-0.555872501853231,-0.0860059875903786,-0.00755097861898948
"6280",3,252,1031,51288,-0.555872501853231,-0.0860059875903786,-0.00755097861898948
"17",1,220,1033,54495,1.10281572769897,0.100802939254426,-0.364230487066283
"3149",2,195,1033,54495,1.10281572769897,0.100802939254426,-0.364230487066283
"6281",3,138,1033,54495,1.10281572769897,0.100802939254426,-0.364230487066283
"18",1,92,1035,12514,-0.555872501853231,1.02095269462223,0.931503546445636
"3150",2,48,1035,12514,-0.555872501853231,1.02095269462223,0.931503546445636
"6282",3,17,1035,12514,-0.555872501853231,1.02095269462223,0.931503546445636
"19",1,85,1037,10855,-0.555872501853231,-0.255832284722019,-0.467002548822282
"3151",2,55,1037,10855,-0.555872501853231,-0.255832284722019,-0.467002548822282
"6283",3,57,1037,10855,-0.555872501853231,-0.255832284722019,-0.467002548822282
"20",1,225,1039,37351,-0.555872501853231,0.417297402090666,0.246356468072304
"3152",2,129,1039,37351,-0.555872501853231,0.417297402090666,0.246356468072304
"6284",3,117,1039,37351,-0.555872501853231,0.417297402090666,0.246356468072304
"21",1,97,1041,13865,-0.555872501853231,0.0158897906886059,0.00252471371003024
"3153",2,54,1041,13865,-0.555872501853231,0.0158897906886059,0.00252471371003024
"6285",3,35,1041,13865,-0.555872501853231,0.0158897906886059,0.00252471371003024
"22",1,618,1043,82313,-0.555872501853231,0.0344162958302393,0.38338588374697
"3154",2,564,1043,82313,-0.555872501853231,0.0344162958302393,0.38338588374697
"6286",3,382,1043,82313,-0.555872501853231,0.0344162958302393,0.38338588374697
"23",1,270,1045,49255,-0.402735101948882,0.428104530089952,0.183887175632383
"3155",2,288,1045,49255,-0.402735101948882,0.428104530089952,0.183887175632383
"6287",3,176,1045,49255,-0.402735101948882,0.428104530089952,0.183887175632383
"24",1,121,1047,40029,-0.555872501853231,2.38882632424617,0.423688653063049
"3156",2,66,1047,40029,-0.555872501853231,2.38882632424617,0.423688653063049
"6288",3,71,1047,40029,-0.555872501853231,2.38882632424617,0.423688653063049
"25",1,364,1049,71200,-0.555872501853231,0.997794563195183,0.921427854116616
"3157",2,311,1049,71200,-0.555872501853231,0.997794563195183,0.921427854116616
"6289",3,174,1049,71200,-0.555872501853231,0.997794563195183,0.921427854116616
"26",1,400,1051,81212,0.464743228097515,-0.505940104134072,-0.428714917972008
"3158",2,444,1051,81212,0.464743228097515,-0.505940104134072,-0.428714917972008
"6290",3,249,1051,81212,0.464743228097515,-0.505940104134072,-0.428714917972008
"27",1,330,1053,37328,-0.555872501853231,1.30193802260367,0.909337023321793
"3159",2,117,1053,37328,-0.555872501853231,1.30193802260367,0.909337023321793
"6291",3,79,1053,37328,-0.555872501853231,1.30193802260367,0.909337023321793
"28",1,470,1055,102939,1.28838222405365,0.253646606672903,0.113357329329245
"3160",2,492,1055,102939,1.28838222405365,0.253646606672903,0.113357329329245
"6292",3,522,1055,102939,1.28838222405365,0.253646606672903,0.113357329329245
"29",1,94,1057,16585,-0.555872501853231,0.684387851215883,-0.217125379062597
"3161",2,73,1057,16585,-0.555872501853231,0.684387851215883,-0.217125379062597
"6293",3,50,1057,16585,-0.555872501853231,0.684387851215883,-0.217125379062597
"30",1,107,1059,31542,-0.555872501853231,0.713721484356802,0.584899730327362
"3162",2,146,1059,31542,-0.555872501853231,0.713721484356802,0.584899730327362
"6294",3,101,1059,31542,-0.555872501853231,0.713721484356802,0.584899730327362
"31",1,200,1061,26491,-0.542360378332259,1.29421864546132,0.754171361454891
"3163",2,148,1061,26491,-0.542360378332259,1.29421864546132,0.754171361454891
"6295",3,114,1061,26491,-0.542360378332259,1.29421864546132,0.754171361454891
"32",1,14,1063,8426,-0.555872501853231,3.55599614816908,0.312856037443833
"3164",2,21,1063,8426,-0.555872501853231,3.55599614816908,0.312856037443833
"6296",3,19,1063,8426,-0.555872501853231,3.55599614816908,0.312856037443833
"33",1,64,1065,14887,-0.555872501853231,1.60299373115521,-0.237276763720636
"3165",2,63,1065,14887,-0.555872501853231,1.60299373115521,-0.237276763720636
"6297",3,23,1065,14887,-0.555872501853231,1.60299373115521,-0.237276763720636
"34",1,103,1067,17124,-0.555872501853231,-0.320675052717737,0.280613821990971
"3166",2,89,1067,17124,-0.555872501853231,-0.320675052717737,0.280613821990971
"6298",3,50,1067,17124,-0.555872501853231,-0.320675052717737,0.280613821990971
"35",1,457,1069,104352,1.39858109810246,0.415753526662196,0.099251360068618
"3167",2,669,1069,104352,1.39858109810246,0.415753526662196,0.099251360068618
"6299",3,306,1069,104352,1.39858109810246,0.415753526662196,0.099251360068618
"36",1,345,1071,52094,-0.555872501853231,0.709089858071394,-0.0498688864008716
"3168",2,270,1071,52094,-0.555872501853231,0.709089858071394,-0.0498688864008716
"6300",3,186,1071,52094,-0.555872501853231,0.709089858071394,-0.0498688864008716
"37",1,2635,1073,659892,2.14625193292958,0.213505845532697,-0.0760656864563226
"3169",2,2172,1073,659892,2.14625193292958,0.213505845532697,-0.0760656864563226
"6301",3,1428,1073,659892,2.14625193292958,0.213505845532697,-0.0760656864563226
"38",1,66,1075,13933,-0.555872501853231,0.86347740091834,-0.0982322095801656
"3170",2,70,1075,13933,-0.555872501853231,0.86347740091834,-0.0982322095801656
"6302",3,90,1075,13933,-0.555872501853231,0.86347740091834,-0.0982322095801656
"39",1,433,1077,92585,0.966493414842939,-0.0674794824487451,-0.162716640485891
"3171",2,406,1077,92585,0.966493414842939,-0.0674794824487451,-0.162716640485891
"6303",3,301,1077,92585,0.966493414842939,-0.0674794824487451,-0.162716640485891
"40",1,91,1079,33171,-0.549566844210111,0.17490895982096,-0.34206396394244
"3172",2,67,1079,33171,-0.549566844210111,0.17490895982096,-0.34206396394244
"6304",3,47,1079,33171,-0.549566844210111,0.17490895982096,-0.34206396394244
"41",1,655,1081,159287,1.62378315678533,0.89281103405926,-0.390427287121734
"3173",2,620,1081,159287,1.62378315678533,0.89281103405926,-0.390427287121734
"6305",3,456,1081,159287,1.62378315678533,0.89281103405926,-0.390427287121734
"42",1,599,1083,93052,-0.188342742082795,-0.288253668719878,-0.104277624977578
"3174",2,446,1083,93052,-0.188342742082795,-0.288253668719878,-0.104277624977578
"6306",3,315,1083,93052,-0.188342742082795,-0.288253668719878,-0.104277624977578
"43",1,34,1085,10236,-0.555872501853231,1.89941781342135,-0.130474425033028
"3175",2,20,1085,10236,-0.555872501853231,1.89941781342135,-0.130474425033028
"6307",3,4,1085,10236,-0.555872501853231,1.89941781342135,-0.130474425033028
"44",1,73,1087,19054,-0.555872501853231,1.56902847172888,-0.364230487066283
"3176",2,54,1087,19054,-0.555872501853231,1.56902847172888,-0.364230487066283
"6308",3,52,1087,19054,-0.555872501853231,1.56902847172888,-0.364230487066283
"45",1,1668,1089,357560,1.92435283777406,-0.373166817285699,-0.201004271336165
"3177",2,1368,1089,357560,1.92435283777406,-0.373166817285699,-0.201004271336165
"6309",3,1279,1089,357560,1.92435283777406,-0.373166817285699,-0.201004271336165
"46",1,71,1091,19538,-0.555872501853231,0.957653802054977,-0.070020271058911
"3178",2,57,1091,19538,-0.555872501853231,0.957653802054977,-0.070020271058911
"6310",3,24,1091,19538,-0.555872501853231,0.957653802054977,-0.070020271058911
"47",1,214,1093,29965,-0.555872501853231,0.284524115242292,0.111342190863442
"3179",2,190,1093,29965,-0.555872501853231,0.284524115242292,0.111342190863442
"6311",3,92,1093,29965,-0.555872501853231,0.284524115242292,0.111342190863442
"48",1,581,1095,95145,-0.555872501853231,0.937583421484875,0.64535388430148
"3180",2,402,1095,95145,-0.555872501853231,0.937583421484875,0.64535388430148
"6312",3,377,1095,95145,-0.555872501853231,0.937583421484875,0.64535388430148
